time,FR,ES,PT,GB,IT
2000-01-01,0.090753,0.129601,0.114649,0.335738,0.163953
2000-01-02,0.116973,0.078984,0.095908,0.471055,0.202590
2000-01-03,0.321233,0.130736,0.095627,0.639453,0.277436
2000-01-04,0.423629,0.159874,0.092899,0.543017,0.144214
2000-01-05,0.247620,0.235277,0.298957,0.824555,0.131723
2000-01-06,0.260400,0.195295,0.401011,0.595337,0.052260
2000-01-07,0.178523,0.166761,0.143609,0.849916,0.060263
2000-01-08,0.197391,0.114793,0.061768,0.690121,0.024247
2000-01-09,0.167069,0.320782,0.417642,0.293600,0.047271
2000-01-10,0.088044,0.358029,0.461225,0.530488,0.045478
2000-01-11,0.088614,0.247064,0.298881,0.496422,0.062477
2000-01-12,0.145414,0.161748,0.144215,0.429353,0.111941
2000-01-13,0.197493,0.245082,0.312353,0.274132,0.235756
2000-01-14,0.180170,0.356963,0.281340,0.425401,0.288216
2000-01-15,0.295846,0.247971,0.435762,0.216879,0.127711
2000-01-16,0.256673,0.269026,0.530313,0.254774,0.087030
2000-01-17,0.236047,0.244334,0.422572,0.357461,0.277383
2000-01-18,0.390891,0.386625,0.207700,0.316266,0.434251
2000-01-19,0.305174,0.489169,0.418637,0.165655,0.483725
2000-01-20,0.117386,0.254305,0.326000,0.265613,0.246312
2000-01-21,0.220115,0.256513,0.195226,0.352893,0.358821
2000-01-22,0.469018,0.336339,0.235564,0.697429,0.297856
2000-01-23,0.397242,0.343600,0.256013,0.311590,0.727104
2000-01-24,0.132476,0.202229,0.166051,0.110670,0.402284
2000-01-25,0.132927,0.177438,0.176046,0.057069,0.170569
2000-01-26,0.118094,0.300900,0.227762,0.141848,0.148007
2000-01-27,0.099850,0.242503,0.214438,0.383864,0.106074
2000-01-28,0.313402,0.115816,0.112172,0.733453,0.125576
2000-01-29,0.800924,0.229976,0.100004,0.960067,0.180965
2000-01-30,0.685188,0.211897,0.250336,0.688749,0.367738
2000-01-31,0.350139,0.196165,0.355244,0.601885,0.225737
2000-02-01,0.230146,0.435870,0.452719,0.637367,0.070767
2000-02-02,0.295079,0.426491,0.152126,0.645399,0.132343
2000-02-03,0.150548,0.255569,0.186734,0.380851,0.214457
2000-02-04,0.173974,0.200743,0.264900,0.708955,0.461476
2000-02-05,0.224089,0.252243,0.210627,0.605037,0.085616
2000-02-06,0.321065,0.236834,0.116675,0.664774,0.070337
2000-02-07,0.555559,0.316225,0.116578,0.781921,0.077415
2000-02-08,0.714329,0.378668,0.185348,0.790755,0.161587
2000-02-09,0.490130,0.241790,0.101900,0.852171,0.387803
2000-02-10,0.454470,0.235791,0.093693,0.869773,0.593668
2000-02-11,0.123629,0.161389,0.070950,0.684994,0.124405
2000-02-12,0.427797,0.234330,0.245411,0.780681,0.062004
2000-02-13,0.303256,0.268537,0.151361,0.417856,0.171259
2000-02-14,0.238321,0.272313,0.209666,0.498333,0.106564
2000-02-15,0.424040,0.210353,0.232126,0.477238,0.174506
2000-02-16,0.604593,0.516534,0.465330,0.514544,0.450476
2000-02-17,0.328858,0.573969,0.343327,0.360595,0.640907
2000-02-18,0.674411,0.247920,0.150300,0.512484,0.470829
2000-02-19,0.515009,0.277063,0.153132,0.286397,0.535813
2000-02-20,0.150155,0.149548,0.139510,0.269656,0.519866
2000-02-21,0.092170,0.083315,0.133064,0.327980,0.345833
2000-02-22,0.086772,0.178563,0.298829,0.224550,0.172578
2000-02-23,0.191242,0.276600,0.246107,0.486798,0.123263
2000-02-24,0.330913,0.165580,0.265492,0.512951,0.286812
2000-02-25,0.230991,0.157310,0.161788,0.488489,0.150337
2000-02-26,0.070310,0.105422,0.053834,0.499515,0.093289
2000-02-27,0.351255,0.160613,0.083507,0.746830,0.056969
2000-02-28,0.535501,0.156145,0.129847,0.718298,0.093075
2000-02-29,0.592968,0.256813,0.240382,0.494164,0.096222
2000-03-01,0.469060,0.560435,0.354134,0.508534,0.574557
2000-03-02,0.415491,0.175289,0.147029,0.719576,0.694008
2000-03-03,0.618474,0.159171,0.099825,0.644234,0.323812
2000-03-04,0.282709,0.186351,0.097522,0.377403,0.393961
2000-03-05,0.111513,0.182622,0.145677,0.507934,0.341097
2000-03-06,0.132026,0.147715,0.150314,0.718164,0.183797
2000-03-07,0.224305,0.102882,0.096826,0.650235,0.071387
2000-03-08,0.418112,0.140226,0.287124,0.876203,0.087981
2000-03-09,0.335742,0.177829,0.310156,0.534579,0.197944
2000-03-10,0.208853,0.247142,0.360040,0.529942,0.164026
2000-03-11,0.191801,0.164927,0.289074,0.483995,0.126878
2000-03-12,0.122338,0.163748,0.039122,0.189757,0.128024
2000-03-13,0.099306,0.220350,0.117659,0.386442,0.062342
2000-03-14,0.326840,0.307635,0.323819,0.591357,0.060743
2000-03-15,0.268307,0.441720,0.325256,0.445511,0.232889
2000-03-16,0.177037,0.380909,0.481672,0.257149,0.251520
2000-03-17,0.238632,0.331710,0.272641,0.234813,0.251078
2000-03-18,0.369320,0.419661,0.473905,0.212941,0.276922
2000-03-19,0.302471,0.402876,0.428896,0.208252,0.180712
2000-03-20,0.277201,0.287425,0.368076,0.154657,0.113887
2000-03-21,0.151118,0.390866,0.349158,0.114878,0.180761
2000-03-22,0.152910,0.318024,0.153113,0.044590,0.073922
2000-03-23,0.234623,0.275676,0.207913,0.422198,0.094621
2000-03-24,0.288846,0.190963,0.167027,0.346101,0.103898
2000-03-25,0.182455,0.203140,0.241523,0.217299,0.067628
2000-03-26,0.245277,0.254597,0.217487,0.131836,0.247480
2000-03-27,0.195749,0.423651,0.367078,0.372466,0.429839
2000-03-28,0.303609,0.331418,0.305177,0.330127,0.458322
2000-03-29,0.207650,0.123394,0.088560,0.355652,0.360649
2000-03-30,0.129438,0.147960,0.107618,0.148017,0.191779
2000-03-31,0.087273,0.281744,0.108389,0.038725,0.127129
2000-04-01,0.205944,0.238442,0.414699,0.139675,0.418672
2000-04-02,0.412836,0.617204,0.552103,0.341590,0.233021
2000-04-03,0.325855,0.734016,0.600932,0.618947,0.449284
2000-04-04,0.306007,0.521629,0.500035,0.640317,0.456054
2000-04-05,0.378575,0.330701,0.070873,0.269629,0.615651
2000-04-06,0.311725,0.186933,0.292636,0.125925,0.343096
2000-04-07,0.297202,0.349101,0.558098,0.211355,0.284398
2000-04-08,0.215662,0.337588,0.428343,0.129363,0.144580
2000-04-09,0.219358,0.227887,0.235476,0.305417,0.307208
2000-04-10,0.266948,0.363099,0.535461,0.161604,0.146068
2000-04-11,0.283022,0.592280,0.541752,0.205499,0.149606
2000-04-12,0.490993,0.565043,0.565995,0.518364,0.277474
2000-04-13,0.488501,0.419595,0.673010,0.445793,0.276121
2000-04-14,0.259922,0.668210,0.611855,0.209480,0.253939
2000-04-15,0.556856,0.363926,0.378220,0.228250,0.301792
2000-04-16,0.340292,0.607022,0.530797,0.232212,0.133347
2000-04-17,0.519980,0.618773,0.546771,0.425518,0.271830
2000-04-18,0.325328,0.638486,0.726628,0.207737,0.281936
2000-04-19,0.260344,0.533304,0.562853,0.303524,0.313735
2000-04-20,0.298118,0.494775,0.528898,0.626760,0.318984
2000-04-21,0.232817,0.350636,0.370019,0.508294,0.241289
2000-04-22,0.241672,0.443188,0.489781,0.179389,0.112070
2000-04-23,0.178824,0.481894,0.342082,0.107558,0.201323
2000-04-24,0.201609,0.402231,0.423956,0.175036,0.441835
2000-04-25,0.269228,0.387144,0.466265,0.432571,0.131562
2000-04-26,0.278318,0.174714,0.090367,0.351336,0.064985
2000-04-27,0.123079,0.290635,0.410791,0.164213,0.170865
2000-04-28,0.114668,0.274300,0.306573,0.087572,0.199491
2000-04-29,0.072207,0.217455,0.515499,0.096956,0.112808
2000-04-30,0.122364,0.231645,0.214219,0.077479,0.063298
2000-05-01,0.212723,0.203252,0.228076,0.102471,0.038852
2000-05-02,0.271404,0.143074,0.245918,0.151619,0.052636
2000-05-03,0.172860,0.266059,0.320825,0.200892,0.069477
2000-05-04,0.201735,0.281490,0.429118,0.172737,0.048169
2000-05-05,0.206563,0.152915,0.310853,0.218297,0.107104
2000-05-06,0.086424,0.093989,0.162576,0.232098,0.172465
2000-05-07,0.050398,0.080578,0.138332,0.208445,0.275385
2000-05-08,0.057280,0.082600,0.096248,0.119972,0.155266
2000-05-09,0.081857,0.059016,0.060271,0.068424,0.235628
2000-05-10,0.133439,0.091134,0.058741,0.276836,0.206069
2000-05-11,0.141487,0.120220,0.054291,0.512320,0.060337
2000-05-12,0.047109,0.098022,0.060546,0.282836,0.056137
2000-05-13,0.025179,0.087345,0.099398,0.122359,0.061835
2000-05-14,0.066233,0.126888,0.102249,0.132048,0.058904
2000-05-15,0.067660,0.204135,0.143351,0.208740,0.060948
2000-05-16,0.225119,0.193734,0.177194,0.273594,0.090149
2000-05-17,0.271941,0.100867,0.191456,0.512207,0.058726
2000-05-18,0.374040,0.139957,0.186353,0.353939,0.170474
2000-05-19,0.341277,0.166284,0.117560,0.298644,0.250960
2000-05-20,0.067398,0.147433,0.110535,0.106958,0.267176
2000-05-21,0.325139,0.174474,0.075935,0.105609,0.098262
2000-05-22,0.151513,0.134123,0.088142,0.151091,0.143586
2000-05-23,0.191824,0.093047,0.112080,0.491500,0.097647
2000-05-24,0.192812,0.115460,0.246005,0.210261,0.058372
2000-05-25,0.325822,0.132738,0.187827,0.268336,0.041155
2000-05-26,0.352296,0.316635,0.335148,0.189299,0.102650
2000-05-27,0.468973,0.269381,0.225380,0.455567,0.134957
2000-05-28,0.554627,0.377316,0.337536,0.262170,0.123276
2000-05-29,0.222586,0.240966,0.178295,0.231626,0.231913
2000-05-30,0.248729,0.130609,0.218598,0.089177,0.206894
2000-05-31,0.122052,0.135419,0.156508,0.194148,0.192950
2000-06-01,0.139176,0.209368,0.098089,0.521789,0.212275
2000-06-02,0.081447,0.160589,0.148345,0.203138,0.127141
2000-06-03,0.071618,0.190213,0.171983,0.235716,0.040756
2000-06-04,0.111804,0.200372,0.331943,0.262963,0.032939
2000-06-05,0.185028,0.224965,0.380538,0.081664,0.059316
2000-06-06,0.237370,0.335609,0.249045,0.247636,0.108471
2000-06-07,0.133395,0.175719,0.201763,0.226193,0.112322
2000-06-08,0.280619,0.277615,0.236958,0.378001,0.102705
2000-06-09,0.307275,0.394162,0.488997,0.188201,0.064734
2000-06-10,0.167724,0.605963,0.320150,0.356180,0.095368
2000-06-11,0.242716,0.427072,0.268615,0.422077,0.151144
2000-06-12,0.148368,0.313570,0.303173,0.609885,0.130742
2000-06-13,0.120008,0.258592,0.277685,0.576229,0.076293
2000-06-14,0.147144,0.263556,0.265856,0.226526,0.083208
2000-06-15,0.147438,0.262563,0.200537,0.105983,0.074904
2000-06-16,0.145147,0.244334,0.233605,0.137992,0.156507
2000-06-17,0.225921,0.253849,0.376226,0.367306,0.405776
2000-06-18,0.316381,0.376583,0.248538,0.247893,0.312614
2000-06-19,0.210823,0.315071,0.172995,0.238633,0.129205
2000-06-20,0.255693,0.269259,0.160613,0.249055,0.052610
2000-06-21,0.257116,0.143594,0.160039,0.532475,0.051400
2000-06-22,0.365917,0.122988,0.226420,0.437349,0.068119
2000-06-23,0.305400,0.214106,0.254053,0.528882,0.109403
2000-06-24,0.235534,0.314778,0.340205,0.276498,0.224415
2000-06-25,0.106750,0.258367,0.327135,0.117399,0.353292
2000-06-26,0.162580,0.185294,0.293386,0.030908,0.215820
2000-06-27,0.231519,0.328253,0.247240,0.035042,0.137255
2000-06-28,0.149524,0.193153,0.149084,0.040985,0.119421
2000-06-29,0.069969,0.139012,0.205387,0.053865,0.177579
2000-06-30,0.042293,0.192340,0.221372,0.071986,0.093894
2000-07-01,0.108248,0.273616,0.170333,0.069309,0.072968
2000-07-02,0.091375,0.334273,0.233870,0.098709,0.112717
2000-07-03,0.049889,0.369496,0.362042,0.071727,0.203317
2000-07-04,0.282029,0.191558,0.157829,0.084854,0.273417
2000-07-05,0.237581,0.171330,0.123057,0.064948,0.262268
2000-07-06,0.137992,0.362547,0.275946,0.098269,0.122638
2000-07-07,0.376254,0.324849,0.261069,0.242183,0.150649
2000-07-08,0.236340,0.311021,0.404453,0.223169,0.439559
2000-07-09,0.535467,0.167253,0.325482,0.288745,0.360766
2000-07-10,0.501940,0.390306,0.495548,0.620525,0.201263
2000-07-11,0.338340,0.329608,0.355873,0.413100,0.399481
2000-07-12,0.220580,0.234891,0.261387,0.124686,0.345033
2000-07-13,0.361842,0.229996,0.237806,0.368472,0.302662
2000-07-14,0.411679,0.349586,0.330808,0.447798,0.317818
2000-07-15,0.265395,0.373108,0.362094,0.319451,0.454331
2000-07-16,0.135562,0.279374,0.292838,0.159466,0.248064
2000-07-17,0.057118,0.214314,0.171081,0.058132,0.074103
2000-07-18,0.092678,0.119373,0.118926,0.064808,0.110985
2000-07-19,0.101072,0.093017,0.118036,0.128079,0.151808
2000-07-20,0.145040,0.132859,0.126716,0.093924,0.108249
2000-07-21,0.236327,0.227629,0.309935,0.079383,0.208659
2000-07-22,0.288610,0.313547,0.174820,0.182039,0.103907
2000-07-23,0.205396,0.297523,0.327739,0.186312,0.088123
2000-07-24,0.204604,0.288324,0.401523,0.168271,0.249367
2000-07-25,0.085986,0.397494,0.358256,0.040845,0.275012
2000-07-26,0.117719,0.176294,0.130509,0.039269,0.245313
2000-07-27,0.169812,0.203346,0.189321,0.065379,0.105011
2000-07-28,0.208750,0.183739,0.236519,0.069725,0.136434
2000-07-29,0.210796,0.199701,0.245800,0.066920,0.186806
2000-07-30,0.087709,0.199146,0.185970,0.065921,0.171953
2000-07-31,0.061218,0.169519,0.169256,0.243291,0.220075
2000-08-01,0.126691,0.218903,0.316226,0.260532,0.123682
2000-08-02,0.228121,0.213223,0.363672,0.282036,0.066474
2000-08-03,0.227005,0.331166,0.537070,0.181080,0.055356
2000-08-04,0.177227,0.349899,0.437142,0.201912,0.081293
2000-08-05,0.184676,0.311555,0.408433,0.184338,0.184351
2000-08-06,0.155331,0.294757,0.397423,0.280482,0.195297
2000-08-07,0.104380,0.243369,0.222781,0.131452,0.142883
2000-08-08,0.049209,0.163153,0.182657,0.070944,0.174166
2000-08-09,0.044517,0.152283,0.163672,0.346197,0.105125
2000-08-10,0.126536,0.165078,0.156758,0.288462,0.144730
2000-08-11,0.081464,0.287158,0.377080,0.075118,0.087993
2000-08-12,0.046782,0.152004,0.153858,0.182426,0.059169
2000-08-13,0.096268,0.110288,0.148561,0.119381,0.057325
2000-08-14,0.160485,0.102330,0.217039,0.285648,0.093857
2000-08-15,0.136595,0.169010,0.245417,0.237519,0.135894
2000-08-16,0.112639,0.208589,0.314921,0.240756,0.106275
2000-08-17,0.156513,0.186646,0.307817,0.210409,0.052060
2000-08-18,0.094493,0.205939,0.209635,0.099147,0.047808
2000-08-19,0.113271,0.264346,0.228595,0.151252,0.049952
2000-08-20,0.098913,0.316606,0.207113,0.038354,0.040829
2000-08-21,0.077401,0.269137,0.225167,0.078462,0.061487
2000-08-22,0.152305,0.349551,0.413799,0.096647,0.058861
2000-08-23,0.221841,0.283967,0.297958,0.157865,0.081022
2000-08-24,0.152625,0.278243,0.248462,0.134886,0.155643
2000-08-25,0.315251,0.266605,0.219408,0.238969,0.194832
2000-08-26,0.201660,0.254735,0.239491,0.259329,0.086786
2000-08-27,0.191508,0.194044,0.276204,0.124665,0.125100
2000-08-28,0.098219,0.180472,0.206906,0.062971,0.211765
2000-08-29,0.081896,0.245808,0.239861,0.038598,0.114100
2000-08-30,0.185249,0.241251,0.297383,0.087249,0.077886
2000-08-31,0.125768,0.125575,0.265035,0.348700,0.353508
2000-09-01,0.408985,0.142960,0.273186,0.200043,0.262101
2000-09-02,0.434759,0.179114,0.361652,0.300650,0.168795
2000-09-03,0.196841,0.182144,0.414022,0.165136,0.278070
2000-09-04,0.136108,0.229586,0.338180,0.152057,0.229008
2000-09-05,0.090369,0.159425,0.189622,0.210338,0.318238
2000-09-06,0.334228,0.134519,0.192572,0.549105,0.177214
2000-09-07,0.162682,0.204815,0.157230,0.546360,0.201026
2000-09-08,0.098079,0.201115,0.171596,0.428762,0.419049
2000-09-09,0.094235,0.187879,0.126403,0.196505,0.338205
2000-09-10,0.108777,0.159355,0.117974,0.101214,0.179204
2000-09-11,0.118107,0.080822,0.155389,0.234633,0.111873
2000-09-12,0.112136,0.056468,0.139939,0.217442,0.065275
2000-09-13,0.058417,0.118539,0.109837,0.115922,0.045432
2000-09-14,0.047912,0.178275,0.093253,0.154456,0.059399
2000-09-15,0.276082,0.145775,0.175521,0.178008,0.043455
2000-09-16,0.424423,0.149458,0.089919,0.331847,0.115573
2000-09-17,0.097844,0.145343,0.082638,0.251718,0.293378
2000-09-18,0.219407,0.197367,0.248413,0.304224,0.330147
2000-09-19,0.314554,0.495844,0.560118,0.236110,0.313940
2000-09-20,0.156783,0.404058,0.209413,0.387835,0.453771
2000-09-21,0.227256,0.163419,0.098533,0.439415,0.376828
2000-09-22,0.155722,0.127642,0.119036,0.347914,0.210510
2000-09-23,0.277056,0.225038,0.208317,0.472017,0.142528
2000-09-24,0.190546,0.088665,0.158129,0.342514,0.084570
2000-09-25,0.105640,0.158245,0.195259,0.210962,0.057116
2000-09-26,0.187534,0.117248,0.164903,0.417251,0.129858
2000-09-27,0.251179,0.132530,0.165403,0.568930,0.043280
2000-09-28,0.426078,0.398828,0.421949,0.346315,0.059293
2000-09-29,0.190039,0.389692,0.534897,0.278418,0.253891
2000-09-30,0.094174,0.332496,0.414041,0.087418,0.362428
2000-10-01,0.161156,0.398134,0.292360,0.277582,0.362810
2000-10-02,0.428520,0.394170,0.188394,0.363390,0.230139
2000-10-03,0.164358,0.178394,0.125343,0.643469,0.172004
2000-10-04,0.072864,0.140930,0.186690,0.464906,0.109082
2000-10-05,0.207252,0.218334,0.304452,0.326440,0.117353
2000-10-06,0.176980,0.326704,0.438516,0.221480,0.117710
2000-10-07,0.149563,0.208299,0.255358,0.269172,0.258123
2000-10-08,0.273267,0.163838,0.196337,0.273597,0.305164
2000-10-09,0.391603,0.238818,0.393636,0.448550,0.227315
2000-10-10,0.715759,0.542250,0.553038,0.490673,0.258775
2000-10-11,0.661331,0.711958,0.776709,0.372491,0.343407
2000-10-12,0.411354,0.367635,0.439223,0.280199,0.243171
2000-10-13,0.119664,0.387964,0.375857,0.183302,0.307721
2000-10-14,0.093913,0.302227,0.128235,0.253325,0.307755
2000-10-15,0.156064,0.269779,0.109415,0.237888,0.273951
2000-10-16,0.287612,0.211901,0.184455,0.297110,0.124150
2000-10-17,0.128476,0.094854,0.073764,0.501499,0.118231
2000-10-18,0.285426,0.198664,0.145882,0.497829,0.089137
2000-10-19,0.126054,0.125645,0.074650,0.300817,0.064320
2000-10-20,0.343343,0.358073,0.526092,0.391534,0.048678
2000-10-21,0.289830,0.248123,0.380601,0.198858,0.125251
2000-10-22,0.248181,0.321568,0.185468,0.394851,0.128327
2000-10-23,0.320715,0.303626,0.288697,0.650027,0.093254
2000-10-24,0.202507,0.367216,0.257963,0.601717,0.084384
2000-10-25,0.358057,0.101654,0.132441,0.797429,0.088464
2000-10-26,0.212171,0.067362,0.057439,0.538188,0.077220
2000-10-27,0.340167,0.103268,0.040599,0.491421,0.064085
2000-10-28,0.501182,0.307777,0.237076,0.641702,0.039071
2000-10-29,0.670064,0.159105,0.229270,0.831987,0.053479
2000-10-30,0.759117,0.510546,0.472690,0.525525,0.175759
2000-10-31,0.578804,0.453601,0.299786,0.531598,0.351540
2000-11-01,0.522409,0.344249,0.339601,0.458353,0.272056
2000-11-02,0.550196,0.532286,0.656672,0.432856,0.179727
2000-11-03,0.321404,0.531608,0.419411,0.392781,0.443048
2000-11-04,0.189765,0.306281,0.177116,0.315426,0.349703
2000-11-05,0.506225,0.632178,0.813599,0.394558,0.125501
2000-11-06,0.687965,0.916594,0.917646,0.672421,0.491171
2000-11-07,0.576707,0.700473,0.605035,0.583407,0.619235
2000-11-08,0.387126,0.469434,0.217449,0.596311,0.331775
2000-11-09,0.291083,0.245566,0.072409,0.367245,0.218201
2000-11-10,0.230774,0.175023,0.197201,0.339170,0.067932
2000-11-11,0.490676,0.306385,0.151044,0.551910,0.087229
2000-11-12,0.554919,0.491106,0.517537,0.462660,0.171034
2000-11-13,0.168984,0.348073,0.213410,0.263426,0.378262
2000-11-14,0.187086,0.141554,0.116495,0.154917,0.382260
2000-11-15,0.269090,0.156801,0.236078,0.292065,0.265558
2000-11-16,0.358609,0.353616,0.236070,0.392188,0.373104
2000-11-17,0.241989,0.409277,0.228292,0.388336,0.390168
2000-11-18,0.316873,0.299161,0.118997,0.470408,0.193886
2000-11-19,0.460939,0.288313,0.126064,0.465857,0.433050
2000-11-20,0.324523,0.414101,0.311452,0.157077,0.319659
2000-11-21,0.500350,0.454611,0.447034,0.297917,0.351886
2000-11-22,0.461432,0.487452,0.633522,0.533997,0.138936
2000-11-23,0.354068,0.615615,0.452583,0.218249,0.127376
2000-11-24,0.232164,0.425696,0.420497,0.320664,0.344248
2000-11-25,0.486073,0.551959,0.481928,0.616455,0.285724
2000-11-26,0.580623,0.527560,0.444338,0.610325,0.488479
2000-11-27,0.305118,0.476230,0.462084,0.375792,0.630732
2000-11-28,0.458551,0.483208,0.845814,0.541261,0.371819
2000-11-29,0.412205,0.432028,0.402134,0.763416,0.085082
2000-11-30,0.305921,0.458089,0.851400,0.592350,0.054587
2000-12-01,0.594324,0.470780,0.597624,0.637058,0.017186
2000-12-02,0.280711,0.409176,0.320575,0.703768,0.064392
2000-12-03,0.275414,0.347835,0.455361,0.491821,0.164083
2000-12-04,0.462705,0.421024,0.710444,0.782674,0.130734
2000-12-05,0.542650,0.487941,0.780833,0.706845,0.081786
2000-12-06,0.402481,0.442062,0.579276,0.557367,0.036358
2000-12-07,0.652406,0.763266,0.784709,0.386406,0.103634
2000-12-08,0.619159,0.411888,0.348476,0.705622,0.192597
2000-12-09,0.437336,0.472289,0.448039,0.718102,0.171541
2000-12-10,0.667253,0.384965,0.453184,0.608638,0.181574
2000-12-11,0.537636,0.346810,0.297757,0.577989,0.123564
2000-12-12,0.564890,0.429691,0.444541,0.695769,0.075752
2000-12-13,0.697216,0.221321,0.216257,0.843929,0.173502
2000-12-14,0.409715,0.391008,0.247131,0.572330,0.234117
2000-12-15,0.314705,0.328892,0.170519,0.321941,0.479123
2000-12-16,0.207975,0.158245,0.074023,0.092798,0.338559
2000-12-17,0.115433,0.243343,0.282302,0.129389,0.249703
2000-12-18,0.221495,0.338355,0.637507,0.213805,0.199564
2000-12-19,0.190840,0.359879,0.773070,0.520560,0.077095
2000-12-20,0.308561,0.268206,0.239759,0.468896,0.097354
2000-12-21,0.294954,0.487142,0.870742,0.246290,0.211764
2000-12-22,0.367283,0.657896,0.457409,0.155841,0.306056
2000-12-23,0.341056,0.363399,0.482916,0.119614,0.162246
2000-12-24,0.250644,0.478464,0.303767,0.425590,0.271748
2000-12-25,0.206771,0.547489,0.602729,0.477144,0.549065
2000-12-26,0.235895,0.587170,0.521348,0.246622,0.552869
2000-12-27,0.225435,0.662973,0.657144,0.155968,0.658580
2000-12-28,0.227598,0.722703,0.735410,0.189849,0.570429
2000-12-29,0.213477,0.659342,0.650676,0.342324,0.458849
2000-12-30,0.246262,0.696563,0.585827,0.313522,0.439271
2000-12-31,0.360547,0.443734,0.597420,0.597146,0.512196