time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MK,NL,NO,PL,PT,RO,SE,SI,SK
2000-01-01,0.033968,0.117979,0.566442,0.066623,0.032727,0.113124,0.144256,0.307491,0.108901,0.129601,0.195759,0.090753,0.335738,0.219882,0.122349,0.059228,0.298579,0.163953,0.093206,0.122261,0.123019,0.363915,0.138967,0.503778,0.143081,0.114649,0.489814,0.140303,0.016320,0.011476
2000-01-02,0.059463,0.245150,0.266390,0.073509,0.021521,0.170548,0.207986,0.416927,0.363062,0.078984,0.660538,0.116973,0.471055,0.366715,0.101214,0.036337,0.473849,0.202590,0.357748,0.097196,0.404686,0.125550,0.253909,0.637971,0.254381,0.095908,0.123596,0.451508,0.016694,0.018231
2000-01-03,0.135944,0.604462,0.274019,0.126285,0.147012,0.238036,0.434702,0.538471,0.217778,0.130736,0.398637,0.321233,0.639453,0.703226,0.067505,0.099609,0.408672,0.277436,0.408627,0.303772,0.356231,0.110764,0.582338,0.721884,0.400070,0.095627,0.192261,0.466804,0.012215,0.015743
2000-01-04,0.147901,0.480039,0.330523,0.329217,0.716716,0.324155,0.331373,0.399524,0.663931,0.159874,0.536410,0.423629,0.543017,0.527295,0.046426,0.107863,0.604233,0.144214,0.669734,0.596645,0.704655,0.151585,0.327358,0.585816,0.344791,0.092899,0.115839,0.651193,0.012899,0.026353
2000-01-05,0.342709,0.376052,0.085077,0.133864,0.596326,0.352299,0.381962,0.468810,0.431235,0.235277,0.245534,0.247620,0.824555,0.345348,0.044630,0.267136,0.950828,0.131723,0.163887,0.236535,0.206117,0.226224,0.408243,0.546592,0.489793,0.298957,0.138058,0.195111,0.028127,0.123790
2000-01-06,0.075149,0.469693,0.250188,0.149593,0.103523,0.173745,0.322342,0.683518,0.575821,0.195295,0.682517,0.260400,0.595337,0.247191,0.042065,0.068123,0.455171,0.052260,0.391824,0.315411,0.557407,0.355043,0.480612,0.813700,0.316134,0.401011,0.191585,0.741004,0.046113,0.029818
2000-01-07,0.067684,0.391065,0.446527,0.039730,0.306124,0.136075,0.256804,0.546098,0.696043,0.166761,0.640011,0.178523,0.849916,0.495132,0.087915,0.107593,0.921282,0.060263,0.432474,0.206771,0.523008,0.061831,0.404370,0.761538,0.258496,0.143609,0.157506,0.611201,0.097776,0.045578
2000-01-08,0.198598,0.349120,0.350962,0.085470,0.250585,0.237271,0.329568,0.682971,0.823594,0.114793,0.850140,0.197391,0.690121,0.330708,0.036930,0.161156,0.610383,0.024247,0.544523,0.224930,0.715701,0.027199,0.392106,0.800387,0.351331,0.061768,0.093546,0.866941,0.073083,0.141859
2000-01-09,0.137871,0.105216,0.249693,0.039736,0.078823,0.120454,0.090952,0.354108,0.539487,0.320782,0.785503,0.167069,0.293600,0.169148,0.034715,0.093611,0.242135,0.047271,0.243694,0.117535,0.377846,0.020568,0.140311,0.534992,0.144368,0.417642,0.059289,0.553767,0.037002,0.077502
2000-01-10,0.079194,0.070834,0.067779,0.054418,0.094818,0.051824,0.082222,0.350426,0.244870,0.358029,0.366113,0.088044,0.530488,0.097661,0.128887,0.041057,0.534395,0.045478,0.228068,0.070531,0.208941,0.019417,0.145838,0.625628,0.175669,0.461225,0.038425,0.307718,0.122800,0.056554
2000-01-11,0.076675,0.285843,0.248133,0.034731,0.010947,0.051192,0.227673,0.563763,0.549505,0.247064,0.444833,0.088614,0.496422,0.435065,0.294990,0.033415,0.367976,0.062477,0.449332,0.042084,0.540366,0.045989,0.395445,0.551670,0.264007,0.298881,0.075892,0.514368,0.167856,0.038379
2000-01-12,0.161640,0.424332,0.259928,0.038493,0.066465,0.132525,0.299449,0.721618,0.617022,0.161748,0.617836,0.145414,0.429353,0.573580,0.131595,0.093023,0.179774,0.111941,0.499795,0.191487,0.657258,0.006324,0.490152,0.278332,0.328676,0.144215,0.089807,0.572140,0.143582,0.067660
2000-01-13,0.453531,0.288921,0.147623,0.120135,0.052224,0.317697,0.185907,0.374576,0.479245,0.245082,0.273743,0.197493,0.274132,0.518446,0.124656,0.301483,0.540396,0.235756,0.378341,0.241510,0.504405,0.007823,0.297441,0.223106,0.278557,0.312353,0.127197,0.246601,0.030093,0.294515
2000-01-14,0.112970,0.050661,0.042279,0.113662,0.349596,0.118054,0.042471,0.047696,0.074968,0.356963,0.304671,0.180170,0.425401,0.570841,0.091786,0.139995,0.370904,0.288216,0.099070,0.065229,0.069666,0.008118,0.041132,0.319491,0.096426,0.281340,0.083102,0.139837,0.041833,0.113058
2000-01-15,0.143355,0.158374,0.026347,0.140864,0.442481,0.107173,0.090916,0.189628,0.132489,0.247971,0.218981,0.295846,0.216879,0.531193,0.114194,0.114845,0.146337,0.127711,0.094821,0.172038,0.085998,0.010052,0.127932,0.390374,0.126880,0.435762,0.065050,0.202510,0.167134,0.065379
2000-01-16,0.439886,0.160392,0.044929,0.314094,0.093545,0.226928,0.281337,0.506362,0.480340,0.269026,0.587967,0.256673,0.254774,0.147485,0.413376,0.372545,0.125807,0.087030,0.432898,0.117310,0.410300,0.024232,0.319344,0.762582,0.300939,0.530313,0.044623,0.531700,0.189232,0.175654
2000-01-17,0.935736,0.382121,0.441450,0.141628,0.188034,0.844727,0.769547,0.922789,0.581433,0.244334,0.690045,0.236047,0.357461,0.130681,0.127259,0.774332,0.128950,0.277383,0.721399,0.479064,0.767897,0.128956,0.578890,0.777423,0.757752,0.422572,0.537077,0.922308,0.019321,0.666797
2000-01-18,0.959480,0.583073,0.480163,0.360531,0.822788,0.836690,0.730037,0.794289,0.634945,0.386625,0.636791,0.390891,0.316266,0.529086,0.266655,0.833205,0.089093,0.434251,0.800217,0.692712,0.821801,0.502150,0.709509,0.671579,0.770119,0.207700,0.472724,0.801717,0.170733,0.567327
2000-01-19,0.920425,0.264730,0.354778,0.188020,0.661554,0.585996,0.273932,0.358009,0.601362,0.489169,0.416176,0.305174,0.165655,0.543850,0.394682,0.893954,0.020387,0.483725,0.637883,0.281903,0.666181,0.677379,0.317002,0.481969,0.627058,0.418637,0.501232,0.496722,0.136158,0.615468
2000-01-20,0.788898,0.270248,0.467251,0.058118,0.809106,0.640102,0.565314,0.718984,0.344499,0.254305,0.321922,0.117386,0.265613,0.552402,0.141240,0.684230,0.103513,0.246312,0.596909,0.248591,0.609258,0.419397,0.430853,0.654298,0.582603,0.326000,0.627191,0.579259,0.038300,0.493010
2000-01-21,0.940402,0.380321,0.759881,0.156153,0.251216,0.712337,0.448348,0.360592,0.640118,0.256513,0.725880,0.220115,0.352893,0.362708,0.193293,0.911409,0.181503,0.358821,0.431639,0.424045,0.578763,0.154293,0.439976,0.290391,0.594533,0.195226,0.864361,0.491437,0.062031,0.725382
2000-01-22,0.289907,0.553888,0.329263,0.270654,0.426315,0.178336,0.158657,0.299099,0.388586,0.336339,0.419145,0.469018,0.697429,0.391402,0.339698,0.312929,0.526179,0.297856,0.200085,0.391283,0.265277,0.312219,0.428852,0.206710,0.129289,0.235564,0.343683,0.101004,0.120151,0.205422
2000-01-23,0.228948,0.396516,0.398832,0.237116,0.139805,0.209723,0.076504,0.050163,0.250678,0.343600,0.305298,0.397242,0.311590,0.571612,0.514229,0.228718,0.069201,0.727104,0.036663,0.384781,0.076643,0.314667,0.227843,0.189881,0.094929,0.256013,0.236890,0.124389,0.253765,0.192676
2000-01-24,0.499153,0.022395,0.682919,0.135826,0.199803,0.131310,0.025909,0.102388,0.132521,0.202229,0.100810,0.132476,0.110670,0.757056,0.639770,0.588160,0.088590,0.402284,0.077824,0.040529,0.071383,0.420239,0.026795,0.279441,0.076656,0.166051,0.451194,0.096880,0.268898,0.286113
2000-01-25,0.213025,0.044828,0.360137,0.159617,0.510477,0.145209,0.150887,0.158287,0.109337,0.177438,0.350286,0.132927,0.057069,0.371462,0.220939,0.213347,0.014677,0.170569,0.115771,0.010571,0.067112,0.396790,0.110698,0.459020,0.409309,0.176046,0.266000,0.308054,0.042892,0.088849
2000-01-26,0.507630,0.139795,0.382645,0.030372,0.786864,0.418466,0.350986,0.504177,0.275421,0.300900,0.578601,0.118094,0.141848,0.378301,0.063256,0.404942,0.038578,0.148007,0.316074,0.017502,0.231722,0.378159,0.230031,0.640675,0.527807,0.227762,0.463807,0.447690,0.019234,0.206528
2000-01-27,0.447866,0.277126,0.428087,0.107052,0.464048,0.389991,0.439948,0.645972,0.405569,0.242503,0.391272,0.099850,0.383864,0.313984,0.026016,0.342994,0.188635,0.106074,0.391463,0.111386,0.317431,0.410405,0.421204,0.502316,0.656835,0.214438,0.464531,0.469592,0.023631,0.221296
2000-01-28,0.377902,0.601657,0.136730,0.275018,0.162911,0.453977,0.600647,0.555454,0.299811,0.115816,0.234272,0.313402,0.733453,0.057096,0.034342,0.245553,0.747622,0.125576,0.599255,0.411255,0.437106,0.254271,0.667603,0.286853,0.646820,0.112172,0.255250,0.351068,0.009831,0.109701
2000-01-29,0.570382,0.967747,0.274273,0.757712,0.021574,0.856636,0.910928,0.902150,0.611145,0.229976,0.622448,0.800924,0.960067,0.042814,0.097605,0.578072,0.909103,0.180965,0.718479,0.964536,0.687677,0.114351,0.955383,0.571392,0.772045,0.100004,0.391988,0.674039,0.050552,0.332030
2000-01-30,0.724779,0.741506,0.560202,0.785401,0.095831,0.774114,0.725503,0.718646,0.789430,0.211897,0.823609,0.685188,0.688749,0.185744,0.077278,0.621264,0.830069,0.367738,0.866109,0.821953,0.857014,0.057116,0.654907,0.669633,0.862571,0.250336,0.793622,0.722619,0.044381,0.496220
2000-01-31,0.825365,0.685776,0.512003,0.308036,0.063827,0.853242,0.731197,0.693475,0.482483,0.196165,0.721309,0.350139,0.601885,0.170542,0.035475,0.692295,0.591318,0.225737,0.299670,0.651706,0.208388,0.160395,0.681568,0.581978,0.681673,0.355244,0.667053,0.484286,0.019053,0.600315